"from","to"
"David Richardson","Jacques Frémeaux"
"David Richardson","Claire Laux"
"David Richardson","Géraldine Vaughan"
"David Richardson","Olivier Pétré-Grenouilleau"
"David Richardson","Robert Gerwarth"
"David Richardson","William E. Mulligan"
"Géraldine Vaughan","Jacques Frémeaux"
"Géraldine Vaughan","Claire Laux"
"Géraldine Vaughan","David Richardson"
"Géraldine Vaughan","Olivier Pétré-Grenouilleau"
"Géraldine Vaughan","Robert Gerwarth"
"Géraldine Vaughan","William E. Mulligan"
"Olivier Pétré-Grenouilleau","Jacques Frémeaux"
"Olivier Pétré-Grenouilleau","Claire Laux"
"Olivier Pétré-Grenouilleau","David Richardson"
"Olivier Pétré-Grenouilleau","Géraldine Vaughan"
"Olivier Pétré-Grenouilleau","Robert Gerwarth"
"Olivier Pétré-Grenouilleau","William E. Mulligan"
"Olivier Pétré-Grenouilleau","Jacques Péret"
"Olivier Pétré-Grenouilleau","Mickaël Augeron"
"Olivier Pétré-Grenouilleau","Éric Saunier"
"Robert Gerwarth","Jacques Frémeaux"
"Robert Gerwarth","Claire Laux"
"Robert Gerwarth","David Richardson"
"Robert Gerwarth","Géraldine Vaughan"
"Robert Gerwarth","Olivier Pétré-Grenouilleau"
"Robert Gerwarth","William E. Mulligan"
"William E. Mulligan","Jacques Frémeaux"
"William E. Mulligan","Claire Laux"
"William E. Mulligan","David Richardson"
"William E. Mulligan","Géraldine Vaughan"
"William E. Mulligan","Olivier Pétré-Grenouilleau"
"William E. Mulligan","Robert Gerwarth"
"Anne Grynberg","Boris Czerny"
"Anne Grynberg","Jean Baumgarten"
"Anne Grynberg","Luba Jurgenson"
"Anne Grynberg","Yitskhok Niborski"
"Boris Czerny","Anne Grynberg"
"Boris Czerny","Jean Baumgarten"
"Boris Czerny","Luba Jurgenson"
"Boris Czerny","Yitskhok Niborski"
"Jean Baumgarten","Anne Grynberg"
"Jean Baumgarten","Boris Czerny"
"Jean Baumgarten","Luba Jurgenson"
"Jean Baumgarten","Yitskhok Niborski"
"Luba Jurgenson","Anne Grynberg"
"Luba Jurgenson","Boris Czerny"
"Luba Jurgenson","Jean Baumgarten"
"Luba Jurgenson","Yitskhok Niborski"
"Yitskhok Niborski","Anne Grynberg"
"Yitskhok Niborski","Boris Czerny"
"Yitskhok Niborski","Jean Baumgarten"
"Yitskhok Niborski","Luba Jurgenson"
"Françoise Wang-Toutain","Charles Ramble"
"Françoise Wang-Toutain","Heather Stoddard"
"Françoise Wang-Toutain","Jean-Luc Achard"
"Heather Stoddard","Charles Ramble"
"Heather Stoddard","Françoise Wang-Toutain"
"Heather Stoddard","Jean-Luc Achard"
"Jean-Luc Achard","Charles Ramble"
"Jean-Luc Achard","Françoise Wang-Toutain"
"Jean-Luc Achard","Heather Stoddard"
"Charles Urjewicz","Claire Mouradian"
"Charles Urjewicz","Guia Jorjoliani"
"Charles Urjewicz","Marie Vrinat-Nikolov"
"Charles Urjewicz","Stephen Jones"
"Charles Urjewicz","Andres Kasekamp"
"Charles Urjewicz","Anne de Tinguy"
"Charles Urjewicz","Elsa Tulmets"
"Charles Urjewicz","Jean Radvanyi"
"Charles Urjewicz","Silvia Serrano"
"Claire Mouradian","Charles Urjewicz"
"Claire Mouradian","Guia Jorjoliani"
"Claire Mouradian","Marie Vrinat-Nikolov"
"Claire Mouradian","Stephen Jones"
"Guia Jorjoliani","Charles Urjewicz"
"Guia Jorjoliani","Claire Mouradian"
"Guia Jorjoliani","Marie Vrinat-Nikolov"
"Guia Jorjoliani","Stephen Jones"
"Marie Vrinat-Nikolov","Charles Urjewicz"
"Marie Vrinat-Nikolov","Claire Mouradian"
"Marie Vrinat-Nikolov","Guia Jorjoliani"
"Marie Vrinat-Nikolov","Stephen Jones"
"Stephen Jones","Charles Urjewicz"
"Stephen Jones","Claire Mouradian"
"Stephen Jones","Guia Jorjoliani"
"Stephen Jones","Marie Vrinat-Nikolov"
"Andres Kasekamp","Charles Urjewicz"
"Andres Kasekamp","Anne de Tinguy"
"Andres Kasekamp","Elsa Tulmets"
"Andres Kasekamp","Jean Radvanyi"
"Andres Kasekamp","Silvia Serrano"
"Anne de Tinguy","Charles Urjewicz"
"Anne de Tinguy","Andres Kasekamp"
"Anne de Tinguy","Elsa Tulmets"
"Anne de Tinguy","Jean Radvanyi"
"Anne de Tinguy","Silvia Serrano"
"Anne de Tinguy","Alain Blum"
"Anne de Tinguy","Nadine Picaudou"
"Anne de Tinguy","Martine Mespoulet"
"Elsa Tulmets","Charles Urjewicz"
"Elsa Tulmets","Andres Kasekamp"
"Elsa Tulmets","Anne de Tinguy"
"Elsa Tulmets","Jean Radvanyi"
"Elsa Tulmets","Silvia Serrano"
"Jean Radvanyi","Charles Urjewicz"
"Jean Radvanyi","Andres Kasekamp"
"Jean Radvanyi","Anne de Tinguy"
"Jean Radvanyi","Elsa Tulmets"
"Jean Radvanyi","Silvia Serrano"
"Silvia Serrano","Charles Urjewicz"
"Silvia Serrano","Andres Kasekamp"
"Silvia Serrano","Anne de Tinguy"
"Silvia Serrano","Elsa Tulmets"
"Silvia Serrano","Jean Radvanyi"
"Christian Julien Robin","François Déroche"
"Christian Julien Robin","Fred McGraw Donner"
"Christian Julien Robin","Georgine Ayoub"
"Christian Julien Robin","Pierre Lory"
"Fred McGraw Donner","François Déroche"
"Fred McGraw Donner","Christian Julien Robin"
"Fred McGraw Donner","Georgine Ayoub"
"Fred McGraw Donner","Pierre Lory"
"Georgine Ayoub","François Déroche"
"Georgine Ayoub","Christian Julien Robin"
"Georgine Ayoub","Fred McGraw Donner"
"Georgine Ayoub","Pierre Lory"
"Pierre Lory","François Déroche"
"Pierre Lory","Christian Julien Robin"
"Pierre Lory","Fred McGraw Donner"
"Pierre Lory","Georgine Ayoub"
"Chwen-Wen Chen","Xiaohong Xiao Planes"
"Chwen-Wen Chen","Françoise Mengin"
"Chwen-Wen Chen","Jacques Chevallier"
"Chwen-Wen Chen","Pasquale Pasquino"
"Jacques Chevallier","Xiaohong Xiao Planes"
"Jacques Chevallier","Françoise Mengin"
"Jacques Chevallier","Chwen-Wen Chen"
"Jacques Chevallier","Pasquale Pasquino"
"Pasquale Pasquino","Xiaohong Xiao Planes"
"Pasquale Pasquino","Françoise Mengin"
"Pasquale Pasquino","Chwen-Wen Chen"
"Pasquale Pasquino","Jacques Chevallier"
"Dominique Julia","Jean Boutier"
"Dominique Julia","Pierre-Yves Beaurepaire"
"Dominique Julia","Wladimir Berelowitch"
"Jean Boutier","Dominique Julia"
"Jean Boutier","Pierre-Yves Beaurepaire"
"Jean Boutier","Wladimir Berelowitch"
"Jean Boutier","Anna Maria Rao"
"Jean Boutier","Jean-Clément Martin"
"Jean Boutier","Jean-Pierre Jessenne"
"Pierre-Yves Beaurepaire","Dominique Julia"
"Pierre-Yves Beaurepaire","Jean Boutier"
"Pierre-Yves Beaurepaire","Wladimir Berelowitch"
"Wladimir Berelowitch","Dominique Julia"
"Wladimir Berelowitch","Jean Boutier"
"Wladimir Berelowitch","Pierre-Yves Beaurepaire"
"Afrânio Garcia","Jacqueline Carroy"
"Afrânio Garcia","Marcia Cristina Consolim"
"Afrânio Garcia","Regina Helena de Freitas Campos"
"Afrânio Garcia","Régine Plas"
"Jacqueline Carroy","Afrânio Garcia"
"Jacqueline Carroy","Marcia Cristina Consolim"
"Jacqueline Carroy","Regina Helena de Freitas Campos"
"Jacqueline Carroy","Régine Plas"
"Marcia Cristina Consolim","Afrânio Garcia"
"Marcia Cristina Consolim","Jacqueline Carroy"
"Marcia Cristina Consolim","Regina Helena de Freitas Campos"
"Marcia Cristina Consolim","Régine Plas"
"Regina Helena de Freitas Campos","Afrânio Garcia"
"Regina Helena de Freitas Campos","Jacqueline Carroy"
"Regina Helena de Freitas Campos","Marcia Cristina Consolim"
"Regina Helena de Freitas Campos","Régine Plas"
"Régine Plas","Afrânio Garcia"
"Régine Plas","Jacqueline Carroy"
"Régine Plas","Marcia Cristina Consolim"
"Régine Plas","Regina Helena de Freitas Campos"
"Anne-Laure Amilhat-Szary","Alain Musset"
"Anne-Laure Amilhat-Szary","Diego Cardona"
"Anne-Laure Amilhat-Szary","Laurent Faret"
"Anne-Laure Amilhat-Szary","Paula Vásquez Lezama"
"Diego Cardona","Alain Musset"
"Diego Cardona","Anne-Laure Amilhat-Szary"
"Diego Cardona","Laurent Faret"
"Diego Cardona","Paula Vásquez Lezama"
"Laurent Faret","Alain Musset"
"Laurent Faret","Anne-Laure Amilhat-Szary"
"Laurent Faret","Diego Cardona"
"Laurent Faret","Paula Vásquez Lezama"
"Paula Vásquez Lezama","Alain Musset"
"Paula Vásquez Lezama","Anne-Laure Amilhat-Szary"
"Paula Vásquez Lezama","Diego Cardona"
"Paula Vásquez Lezama","Laurent Faret"
"Gregor Weber","Hervé Leuwers"
"Gregor Weber","Lothar Schilling"
"Gregor Weber","Marisa Linton"
"Gregor Weber","Michel Biard"
"Gregor Weber","Rainer Babel"
"Hervé Leuwers","Gregor Weber"
"Hervé Leuwers","Lothar Schilling"
"Hervé Leuwers","Marisa Linton"
"Hervé Leuwers","Michel Biard"
"Hervé Leuwers","Rainer Babel"
"Hervé Leuwers","Dominique Godineau"
"Hervé Leuwers","Haim Burstin"
"Hervé Leuwers","Marc Belissa"
"Hervé Leuwers","Yann-Arzel Durelle-Marc"
"Lothar Schilling","Gregor Weber"
"Lothar Schilling","Hervé Leuwers"
"Lothar Schilling","Marisa Linton"
"Lothar Schilling","Michel Biard"
"Lothar Schilling","Rainer Babel"
"Marisa Linton","Gregor Weber"
"Marisa Linton","Hervé Leuwers"
"Marisa Linton","Lothar Schilling"
"Marisa Linton","Michel Biard"
"Marisa Linton","Rainer Babel"
"Michel Biard","Gregor Weber"
"Michel Biard","Hervé Leuwers"
"Michel Biard","Lothar Schilling"
"Michel Biard","Marisa Linton"
"Michel Biard","Rainer Babel"
"Michel Biard","Dominique Godineau"
"Michel Biard","Haim Burstin"
"Michel Biard","Marc Belissa"
"Michel Biard","Yann-Arzel Durelle-Marc"
"Rainer Babel","Gregor Weber"
"Rainer Babel","Hervé Leuwers"
"Rainer Babel","Lothar Schilling"
"Rainer Babel","Marisa Linton"
"Rainer Babel","Michel Biard"
"Alexander Pruß","Christine Kepinski-Lecomte"
"Alexander Pruß","Jan-Waalke Meyer"
"Alexander Pruß","Jean-Yves Monchambert"
"Alexander Pruß","Philippe Quenet"
"Christine Kepinski-Lecomte","Alexander Pruß"
"Christine Kepinski-Lecomte","Jan-Waalke Meyer"
"Christine Kepinski-Lecomte","Jean-Yves Monchambert"
"Christine Kepinski-Lecomte","Philippe Quenet"
"Jan-Waalke Meyer","Alexander Pruß"
"Jan-Waalke Meyer","Christine Kepinski-Lecomte"
"Jan-Waalke Meyer","Jean-Yves Monchambert"
"Jan-Waalke Meyer","Philippe Quenet"
"Jean-Yves Monchambert","Alexander Pruß"
"Jean-Yves Monchambert","Christine Kepinski-Lecomte"
"Jean-Yves Monchambert","Jan-Waalke Meyer"
"Jean-Yves Monchambert","Philippe Quenet"
"Philippe Quenet","Alexander Pruß"
"Philippe Quenet","Christine Kepinski-Lecomte"
"Philippe Quenet","Jan-Waalke Meyer"
"Philippe Quenet","Jean-Yves Monchambert"
"Annick Peters-Custot","Elodie Lecuppre-Desjardin"
"Annick Peters-Custot","Guillaume Calafat"
"Annick Peters-Custot","Jean-Philippe Genet"
"Annick Peters-Custot","Patrick Boucheron"
"Annick Peters-Custot","Étienne Anheim"
"Elodie Lecuppre-Desjardin","Alain Salamagne"
"Elodie Lecuppre-Desjardin","Annick Peters-Custot"
"Elodie Lecuppre-Desjardin","Guillaume Calafat"
"Elodie Lecuppre-Desjardin","Jean-Philippe Genet"
"Elodie Lecuppre-Desjardin","Patrick Boucheron"
"Elodie Lecuppre-Desjardin","Étienne Anheim"
"Elodie Lecuppre-Desjardin","Philippe Racinet"
"Elodie Lecuppre-Desjardin","Marc Bouiron"
"Elodie Lecuppre-Desjardin","Pascal Montaubin"
"Elodie Lecuppre-Desjardin","Paul Delsalle"
"Guillaume Calafat","Annick Peters-Custot"
"Guillaume Calafat","Elodie Lecuppre-Desjardin"
"Guillaume Calafat","Jean-Philippe Genet"
"Guillaume Calafat","Patrick Boucheron"
"Guillaume Calafat","Étienne Anheim"
"Jean-Philippe Genet","Annick Peters-Custot"
"Jean-Philippe Genet","Elodie Lecuppre-Desjardin"
"Jean-Philippe Genet","Guillaume Calafat"
"Jean-Philippe Genet","Patrick Boucheron"
"Jean-Philippe Genet","Étienne Anheim"
"Patrick Boucheron","Annick Peters-Custot"
"Patrick Boucheron","Elodie Lecuppre-Desjardin"
"Patrick Boucheron","Guillaume Calafat"
"Patrick Boucheron","Jean-Philippe Genet"
"Patrick Boucheron","Étienne Anheim"
"Étienne Anheim","Annick Peters-Custot"
"Étienne Anheim","Elodie Lecuppre-Desjardin"
"Étienne Anheim","Guillaume Calafat"
"Étienne Anheim","Jean-Philippe Genet"
"Étienne Anheim","Patrick Boucheron"
"Anna A Lemos","Eva Simantoni-Bournia"
"Anna A Lemos","Francis Prost"
"Anna A Lemos","Roland Étienne"
"Anna A Lemos","Νότα Κούρου"
"Eva Simantoni-Bournia","Anna A Lemos"
"Eva Simantoni-Bournia","Francis Prost"
"Eva Simantoni-Bournia","Roland Étienne"
"Eva Simantoni-Bournia","Νότα Κούρου"
"Francis Prost","Anna A Lemos"
"Francis Prost","Eva Simantoni-Bournia"
"Francis Prost","Roland Étienne"
"Francis Prost","Νότα Κούρου"
"Francis Prost","Catherine Wolff"
"Francis Prost","Jacqueline Christien"
"Francis Prost","Pierre Leriche"
"Francis Prost","Silke Müth-Frederiksen"
"Roland Étienne","Anna A Lemos"
"Roland Étienne","Eva Simantoni-Bournia"
"Roland Étienne","Francis Prost"
"Roland Étienne","Νότα Κούρου"
"Roland Étienne","Ivana Savalli-Lestrade"
"Roland Étienne","Michel Molin"
"Νότα Κούρου","Anna A Lemos"
"Νότα Κούρου","Eva Simantoni-Bournia"
"Νότα Κούρου","Francis Prost"
"Νότα Κούρου","Roland Étienne"
"Cengiz Kırlı","Bernard Heyberger"
"Cengiz Kırlı","Nadir Özbek"
"Cengiz Kırlı","Olivier Bouquet"
"Cengiz Kırlı","Hamit Bozarslan"
"Cengiz Kırlı","Méropi Anastassiadou-Dumont"
"Cengiz Kırlı","Suraiya Faroqhi"
"Cengiz Kırlı","Thierry Zarcone"
"Cengiz Kırlı","Şevket Pamuk"
"Cengiz Kırlı","Nathalie Clayer"
"Méropi Anastassiadou-Dumont","Bernard Heyberger"
"Méropi Anastassiadou-Dumont","Cengiz Kırlı"
"Méropi Anastassiadou-Dumont","Suraiya Faroqhi"
"Méropi Anastassiadou-Dumont","Thierry Zarcone"
"Méropi Anastassiadou-Dumont","Şevket Pamuk"
"Suraiya Faroqhi","Bernard Heyberger"
"Suraiya Faroqhi","Cengiz Kırlı"
"Suraiya Faroqhi","Méropi Anastassiadou-Dumont"
"Suraiya Faroqhi","Thierry Zarcone"
"Suraiya Faroqhi","Şevket Pamuk"
"Thierry Zarcone","Bernard Heyberger"
"Thierry Zarcone","Jean-Pierre Brach"
"Thierry Zarcone","Cengiz Kırlı"
"Thierry Zarcone","Méropi Anastassiadou-Dumont"
"Thierry Zarcone","Suraiya Faroqhi"
"Thierry Zarcone","Şevket Pamuk"
"Thierry Zarcone","Antoine Faivre"
"Thierry Zarcone","Claude Rétat"
"Thierry Zarcone","Pierre Mollier"
"Thierry Zarcone","Roger Dachez"
"Şevket Pamuk","Bernard Heyberger"
"Şevket Pamuk","Nadir Özbek"
"Şevket Pamuk","Olivier Bouquet"
"Şevket Pamuk","Hamit Bozarslan"
"Şevket Pamuk","Cengiz Kırlı"
"Şevket Pamuk","Méropi Anastassiadou-Dumont"
"Şevket Pamuk","Suraiya Faroqhi"
"Şevket Pamuk","Thierry Zarcone"
"Şevket Pamuk","Nathalie Clayer"
"Clément Orillard","Isabelle Backouche"
"Clément Orillard","Olivier Ratouis"
"Clément Orillard","Enrico Chapel"
"Enrico Chapel","Isabelle Backouche"
"Enrico Chapel","Olivier Ratouis"
"Enrico Chapel","Clément Orillard"
"Catherine Flaesch-Mougin","Luc Capdevila"
"Catherine Flaesch-Mougin","Olivier Dabène"
"Olivier Dabène","Luc Capdevila"
"Olivier Dabène","Catherine Flaesch-Mougin"
"José Gomez de Soto","Michel Bonifay"
"José Gomez de Soto","Martine Joly"
"José Gomez de Soto","Mario Denti"
"Mario Denti","Michel Bonifay"
"Mario Denti","Martine Joly"
"Mario Denti","José Gomez de Soto"
"Adeline Grand-Clément","Corinne Bonnet"
"Adeline Grand-Clément","Valérie Visa-Ondarçuhu"
"Adeline Grand-Clément","Florence Gherchanoc"
"Adeline Grand-Clément","Charalampos Orfanos"
"Adeline Grand-Clément","Gabriella Pironti"
"Adeline Grand-Clément","Pierre Brulé"
"Charalampos Orfanos","Corinne Bonnet"
"Charalampos Orfanos","Valérie Visa-Ondarçuhu"
"Charalampos Orfanos","Florence Gherchanoc"
"Charalampos Orfanos","Adeline Grand-Clément"
"Charalampos Orfanos","Gabriella Pironti"
"Charalampos Orfanos","Pierre Brulé"
"Gabriella Pironti","Corinne Bonnet"
"Gabriella Pironti","Valérie Visa-Ondarçuhu"
"Gabriella Pironti","Florence Gherchanoc"
"Gabriella Pironti","Adeline Grand-Clément"
"Gabriella Pironti","Charalampos Orfanos"
"Gabriella Pironti","Pierre Brulé"
"Pierre Brulé","Corinne Bonnet"
"Pierre Brulé","Valérie Visa-Ondarçuhu"
"Pierre Brulé","Florence Gherchanoc"
"Pierre Brulé","Adeline Grand-Clément"
"Pierre Brulé","Charalampos Orfanos"
"Pierre Brulé","Gabriella Pironti"
"Claire Maingon","Yannick Marec"
"Claire Maingon","Ségolène Le Men"
"Claire Maingon","Diederik Bakhuÿs"
"Claire Maingon","Jacques-Olivier Boudon"
"Claire Maingon","Laurent Baridon"
"Diederik Bakhuÿs","Yannick Marec"
"Diederik Bakhuÿs","Ségolène Le Men"
"Diederik Bakhuÿs","Claire Maingon"
"Diederik Bakhuÿs","Jacques-Olivier Boudon"
"Diederik Bakhuÿs","Laurent Baridon"
"Jacques-Olivier Boudon","Yannick Marec"
"Jacques-Olivier Boudon","Ségolène Le Men"
"Jacques-Olivier Boudon","Claire Maingon"
"Jacques-Olivier Boudon","Diederik Bakhuÿs"
"Jacques-Olivier Boudon","Laurent Baridon"
"Laurent Baridon","Yannick Marec"
"Laurent Baridon","Ségolène Le Men"
"Laurent Baridon","Claire Maingon"
"Laurent Baridon","Diederik Bakhuÿs"
"Laurent Baridon","Jacques-Olivier Boudon"
"Michel Christol","Pierre Cosme"
"Michel Christol","Rudolf Haensch"
"Michel Christol","Sylvain Janniard"
"Michel Christol","Sylvie Crogiez-Pétrequin"
"Rudolf Haensch","Pierre Cosme"
"Rudolf Haensch","Michel Christol"
"Rudolf Haensch","Sylvain Janniard"
"Rudolf Haensch","Sylvie Crogiez-Pétrequin"
"Sylvain Janniard","Pierre Cosme"
"Sylvain Janniard","Michel Christol"
"Sylvain Janniard","Rudolf Haensch"
"Sylvain Janniard","Sylvie Crogiez-Pétrequin"
"Sylvie Crogiez-Pétrequin","Pierre Cosme"
"Sylvie Crogiez-Pétrequin","Michel Christol"
"Sylvie Crogiez-Pétrequin","Rudolf Haensch"
"Sylvie Crogiez-Pétrequin","Sylvain Janniard"
"Maaike Van Der Lugt","François-Joseph Ruggiu"
"Maaike Van Der Lugt","Anna Bellavitis"
"Maaike Van Der Lugt","Sylvie Mouysset"
"Maaike Van Der Lugt","Michel Porret"
"Maaike Van Der Lugt","Sylvie Steinberg"
"Michel Porret","François-Joseph Ruggiu"
"Michel Porret","Anna Bellavitis"
"Michel Porret","Sylvie Mouysset"
"Michel Porret","Maaike Van Der Lugt"
"Michel Porret","Sylvie Steinberg"
"Sylvie Steinberg","François-Joseph Ruggiu"
"Sylvie Steinberg","Anna Bellavitis"
"Sylvie Steinberg","Sylvie Mouysset"
"Sylvie Steinberg","Maaike Van Der Lugt"
"Sylvie Steinberg","Michel Porret"
"Dominique Barthélemy","Mathieu Arnoux"
"Dominique Barthélemy","Laurence Jean-Marie"
"Dominique Barthélemy","Xavier Hélary"
"Dominique Barthélemy","Élisabeth Lalou"
"Dominique Barthélemy","Chantal Senséby"
"Dominique Barthélemy","Florian Mazel"
"Dominique Barthélemy","Jean-Michel Matz"
"Laurence Jean-Marie","Mathieu Arnoux"
"Laurence Jean-Marie","Dominique Barthélemy"
"Laurence Jean-Marie","Xavier Hélary"
"Laurence Jean-Marie","Élisabeth Lalou"
"Xavier Hélary","Mathieu Arnoux"
"Xavier Hélary","Dominique Barthélemy"
"Xavier Hélary","Laurence Jean-Marie"
"Xavier Hélary","Élisabeth Lalou"
"Élisabeth Lalou","Mathieu Arnoux"
"Élisabeth Lalou","Dominique Barthélemy"
"Élisabeth Lalou","Laurence Jean-Marie"
"Élisabeth Lalou","Xavier Hélary"
"Élisabeth Lalou","Boris Bove"
"Élisabeth Lalou","Cécile Caby"
"Élisabeth Lalou","Jacques Le Maho"
"Élisabeth Lalou","Yves Henigfeld"
"Élisabeth Lalou","Élisabeth Lorans"
"Élisabeth Lalou","Bernard Delmaire"
"Élisabeth Lalou","Olivier Mattéoni"
"Élisabeth Lalou","Patrice Beck"
"Boris Bove","Élisabeth Lalou"
"Boris Bove","Cécile Caby"
"Boris Bove","Jacques Le Maho"
"Boris Bove","Yves Henigfeld"
"Boris Bove","Élisabeth Lorans"
"Cécile Caby","Élisabeth Lalou"
"Cécile Caby","Boris Bove"
"Cécile Caby","Jacques Le Maho"
"Cécile Caby","Yves Henigfeld"
"Cécile Caby","Élisabeth Lorans"
"Jacques Le Maho","Élisabeth Lalou"
"Jacques Le Maho","Boris Bove"
"Jacques Le Maho","Cécile Caby"
"Jacques Le Maho","Yves Henigfeld"
"Jacques Le Maho","Élisabeth Lorans"
"Yves Henigfeld","Élisabeth Lalou"
"Yves Henigfeld","Boris Bove"
"Yves Henigfeld","Cécile Caby"
"Yves Henigfeld","Jacques Le Maho"
"Yves Henigfeld","Élisabeth Lorans"
"Élisabeth Lorans","Élisabeth Lalou"
"Élisabeth Lorans","Boris Bove"
"Élisabeth Lorans","Cécile Caby"
"Élisabeth Lorans","Jacques Le Maho"
"Élisabeth Lorans","Yves Henigfeld"
"Perrine Simon-Nahum","Patrick Cabanel"
"Perrine Simon-Nahum","Denis Pelletier"
"Perrine Simon-Nahum","Philippe Boutry"
"Perrine Simon-Nahum","Rita Hermon-Belot"
"Philippe Boutry","Patrick Cabanel"
"Philippe Boutry","Jean-Claude Caron"
"Philippe Boutry","Denis Pelletier"
"Philippe Boutry","Perrine Simon-Nahum"
"Philippe Boutry","Rita Hermon-Belot"
"Philippe Boutry","Christophe Charle"
"Philippe Boutry","Jeroen Duindam"
"Philippe Boutry","Sylvie Aprile"
"Philippe Boutry","Christophe Prochasson"
"Philippe Boutry","Jean-Pierre Chaline"
"Rita Hermon-Belot","Patrick Cabanel"
"Rita Hermon-Belot","Denis Pelletier"
"Rita Hermon-Belot","Perrine Simon-Nahum"
"Rita Hermon-Belot","Philippe Boutry"
"Emanuela Casti","Nicolas Verdier"
"Emanuela Casti","Gilles Palsky"
"Emanuela Casti","Luisa Rossi"
"Emanuela Casti","Marie-Vic Ozouf-Marignier"
"Emanuela Casti","Paulo Militello"
"Gilles Palsky","Nicolas Verdier"
"Gilles Palsky","Emanuela Casti"
"Gilles Palsky","Luisa Rossi"
"Gilles Palsky","Marie-Vic Ozouf-Marignier"
"Gilles Palsky","Paulo Militello"
